Key,File,Type,UsedInMainMenu,NoTranslate,english
foodBaconButtyFMDesc,items,Food,,,"Slapping some fried bacon with butter into a burger bun sounds like a simple but good idea."
foodBaconQuicheFM,items,Food,,,"Bacon Quiche"
foodBaconQuicheFMDesc,items,Food,,,"Quiche is a great way to wow your dinner guests... At least when they were still alive."
foodBaconQuicheFMSchematic,items,Food,,,"Bacon Quiche Recipe"
foodBakedBeanCasseroleFM,items,Food,,,"Baked Bean Casserole"
foodBakedBeanCasseroleFMDesc,items,Food,,,"Do be careful where you point your anus after eating this. You may cause some serious damage to whatever happens to be in your path."
foodBakedBeanCasseroleFMSchematic,items,Food,,,"Baked Bean Casserole Recipe"
foodBangersAndMashFM,items,Food,,,"Bangers and Mash"
foodBangersAndMashFMDesc,items,Food,,,"If your arse needs extra firepower, try this."
foodBangersAndMashFMSchematic,items,Food,,,"Bangers and Mash Recipe"
foodBatteredFishFM,items,Food,,,"Battered Fish"
foodBatteredFishFMDesc,items,Food,,,"Made with the finest beer batter. Tastes great too!"
foodBatteredFishFMSchematic,items,Food,,,"Beer Battered Fish Recipe"
foodBeefStewFM,items,Food,,,"Beef Stew"
foodBeefStewFMDesc,items,Food,,,"Beefy and stewy, this is going to taste awesome!"
foodBeefStewFMSchematic,items,Food,,,"Beef Stew Recipe"
foodBloodSausageFM,items,Food,,,"Blood Sausage"
foodBloodSausageFMDesc,items,Food,,,"A risky food that not even a strong gut of iron could keep down. But, if you do keep it down, you're going to feel much better for it."
foodBloodSausageFMSchematic,items,Food,,,"Blood Sausage Recipe"
foodBlueberryCakeFM,items,Food,,,"Blueberry Cake"
foodBlueberryCakeFMDesc,items,Food,,,"This cake is as blue and marvellous as the berries that were used to create it."
foodBlueberryCakeFMSchematic,items,Food,,,"Blueberry Cake Recipe"
foodBoiledMushroomsFM,items,Food,,,"Boiled Mushrooms"
foodBoiledMushroomsFMDesc,items,Food,,,"A great way to ensure there will not be mush room left in your stomach."
foodBoiledMushroomsFMSchematic,items,Food,,,"Boiled Mushrooms Recipe"
foodBoiledPotatoFM,items,Food,,,"Boiled Potato"
foodBoiledPotatoFMDesc,items,Food,,,"Like a baked potato, but boiled instead and helps restore a little bit of hydration."
foodBoiledPotatoFMSchematic,items,Food,,,"Boiled Potato Recipe"
foodBoneAndGutBrothFM,items,Food,,,"Bone and Gut Broth"
foodBoneAndGutBrothFMDesc,items,Food,,,"None of the animal goes to waste when you can boil it up and make a broth. Rumour has it that not even the strongest iron guts can withstand too much of this stuff, though."
foodBreadFM,items,Food,,,"Bread"
foodBreadFMDesc,items,Food,,,"Bread can be eaten on its own or sliced to make sandwiches, burgers, and more."
foodBreadFMSchematic,items,Food,,,"Bread Recipe"
foodBreadSliceFM,items,Food,,,"Slice of Bread"
foodBreadSliceFMDesc,items,Food,,,"Sliced bread can be used to make sandwiches, toast, and more."
foodBritishBreakfastFM,items,Food,,,"British Breakfast"
foodBritishBreakfastFMDesc,items,Food,,,"This will be sure to fill you up with much needed nutrients to stay healthy."
foodBritishBreakfastFMSchematic,items,Food,,,"British Breakfast Recipe"
foodBurgerBunFM,items,Food,,,"Burger Bun"
foodBurgerBunFMDesc,items,Food,,,"Burger buns are the essential ingredient to tie a burger together!"
foodBurgerBunFMSchematic,items,Food,,,"Burger Bun Recipe"
foodButterFM,items,Food,,,"Butter"
foodButterFMDesc,items,Food,,,"Butter is used in recipes for cakes and sandwiches. Or just eat it as is if you're desperate."
foodButterFMSchematic,items,Food,,,"Butter Recipe"
foodCakeMixtureFM,items,Food,,,"Cake Mixture"
foodCakeMixtureFMDesc,items,Food,,,"Cake mixture is used as a core ingredient when making cakes. You can eat it but the raw eggs may cause stomach cramps..."
foodCakeMixtureFMSchematic,items,Food,,,"Cake Mixture Recipe"
foodCanAnchoviesFM,items,Food,,,"Can of Anchovies"
foodCanAnchoviesFMDesc,items,Food,,,"You can eat these raw or use them in other recipes. Goes great on pizza."
foodCanAnchoviesFMSchematic,items,Food,,,"Can of Anchovies Recipe"
foodCanBeansFM,items,Food,,,"Can of Beans"
foodCanBeansFMDesc,items,Food,,,"Beans, beans. Good for the heart. The more you eat, the more you fart. The more you fart, the more you eat - and the more you sit on the toilet seat!"
foodCanBeansHotFM,items,Food,,,"Can of Beans (Hot)"
foodCanBeansHotFMDesc,items,Food,,,"A wise man once said: 'Strayeth not far from a toilet lest one wishes to adorn oneself with brown pants.'"
foodCanBeefHotFM,items,Food,,,"Large Beef Ration (Hot)"
foodCanBeefHotFMDesc,items,Food,,,"Re-heating this beef ration is a great way to remove any risk of food poisoning, and it can help keep you warmer in a cold environment too!"
foodCanChickenHotFM,items,Food,,,"Chicken Ration (Hot)"
foodCanChickenHotFMDesc,items,Food,,,"Chicken tastes so much cluckin' better when it's heated up, and gives you resistance to cold environments too!"
foodCanChiliHotFM,items,Food,,,"Can of Chili (Hot)"
foodCanChiliHotFMDesc,items,Food,,,"Guaranteed to increase your farting firepower. A warm arse means a warm body in a cold environment, right?"
foodCanLambHotFM,items,Food,,,"Lamb Rations (Hot)"
foodCanLambHotFMDesc,items,Food,,,"Cold lamb is baaaaaaad! Heat it up to remove any chance of food poisoning and give yourself some resistance to cold environments."
foodCanMisoHotFM,items,Food,,,"Can of Miso (Hot)"
foodCanMisoHotFMDesc,items,Food,,,"Deliciously good, and a nice way to stay warm when the snow comes in."
foodCanPastaHotFM,items,Food,,,"Can of Pasta (Hot)"
foodCanPastaHotFMDesc,items,Food,,,"Hot pasta tastes great and gives you some much needed heat in cold weather."
foodCanPeasHotFM,items,Food,,,"Can of Peas (Hot)"
foodCanPeasHotFMDesc,items,Food,,,"Who wants to eat cold peas? Nobody! Hot peas are great and help you survive the coldest weather."
foodCanSalmonHotFM,items,Food,,,"Can of Salmon (Hot)"
foodCanSalmonHotFMDesc,items,Food,,,"Something is very fishy about this, but it will help you survive cold weather."
foodCanShamHotFM,items,Food,,,"Can of Sham (Hot)"
foodCanShamHotFMDesc,items,Food,,,"Was this what they put in sham sandwiches? Tastes pretty good when it's not cold! Gives you extra resistance to cold environments too."
foodCanSoupHotFM,items,Food,,,"Can of Soup (Hot)"
foodCanSoupHotFMDesc,items,Food,,,"Nothing gets rid of cold faster than a hot soup."
foodCanStockHotFM,items,Food,,,"Can of Stock (Hot)"
foodCanStockHotFMDesc,items,Food,,,"No food poisoning? Check! Resistance to cold weather? Check! We have a winner!"
foodCanTunaHotFM,items,Food,,,"Can of Tuna (Hot)"
foodCanTunaHotFMDesc,items,Food,,,"Tastes like shit when heated up, but at least you know it's safe now. Gives you some resistance to the cold too!"
foodCharredBaconFM,items,Food,,,"Charred Bacon"
foodCharredBaconFMDesc,items,Food,,,"Charred bacon... Well, at least it's still bacon... Right...?"
foodCharredSausageFM,items,Food,,,"Charred Sausage"
foodCharredSausageFMDesc,items,Food,,,"What is the best thing to do after working painstakingly hard to make a sausage? Burn the shit out of it."
foodCheeseDoughballsFM,items,Food,,,"Cheese Doughballs"
foodCheeseDoughballsFMDesc,items,Food,,,"These are great to eat and surprisingly filling. Good for snacking on."
foodCheeseDoughballsFMSchematic,items,Food,,,"Chese Doughballs Recipe"
foodCheeseFM,items,Food,,,"Cheese"
foodCheeseFMDesc,items,Food,,,"Cheese is cheesy and tastes good. Well, at least most of us agree, the zombies like brains better though so don't try sharing your cheese wedge with them..."
foodCheeseFMSchematic,items,Food,,,"Cheese Recipe"
foodCheesePizzaFM,items,Food,,,"Cheese Pizza"
foodCheesePizzaFMDesc,items,Food,,,"A basic pizza that tastes delicious."
foodCheesePizzaFMSchematic,items,Food,,,"Cheese Pizza Recipe"
foodCheeseSandwichFM,items,Food,,,"Cheese Sandwich"
foodCheeseSandwichFMDesc,items,Food,,,"Can't be bothered to grill the cheese? Well just stuff it between two slices of bread and call it a day!"
foodCheeseStuffedTomatoFM,items,Food,,,"Cheese Stuffed Tomato"
foodCheeseStuffedTomatoFMDesc,items,Food,,,"What could be more simple than stuffing cheese into a tomato? Pumping cream into tarts, maybe..."
foodChickenCheeseburgerFM,items,Food,,,"Chicken Cheeseburger"
foodChickenCheeseburgerFMDesc,items,Food,,,"A great all-round burger to eat, guaranteed to fill a starving survivor."
foodChickenCheeseburgerFMSchematic,items,Food,,,"Chicken Cheeseburger Recipe"
foodChickenMushroomPastaFM,items,Food,,,"Chicken and Mushroom Pasta"
foodChickenMushroomPastaFMDesc,items,Food,,,"Need to focus your reflexes? This ought to do the trick."
foodChickenMushroomPastaFMSchematic,items,Food,,,"Chicken and Mushroom Pasta Recipe"
foodChickenMushroomSoupFM,items,Food,,,"Chicken and Mushroom Soup"
foodChickenMushroomSoupFMDesc,items,Food,,,"There's not mush-room inside this bowl but it tastes cluckin' delicious."
foodChickenMushroomSoupFMSchematic,items,Food,,,"Chicken and Mushroom Soup Recipe"
foodChickenPieFM,items,Food,,,"Chicken Pie"
foodChickenPieFMDesc,items,Food,,,"Although this tastes awesome, some people say it leaves a fowl after-taste..."
foodChickenPieFMSchematic,items,Food,,,"Chicken Pie Recipe"
foodChickenSandwichFM,items,Food,,,"Chicken Sandwich"
foodChickenSandwichFMDesc,items,Food,,,"Chicken + Bread = Rooster Booster!"
foodChickenStewFM,items,Food,,,"Chicken Stew"
foodChickenStewFMDesc,items,Food,,,"Cluckin' hell, who knew this would taste so good?"
foodChickenStewFMSchematic,items,Food,,,"Chicken Stew Recipe"
foodChickenSweetcornSoupFM,items,Food,,,"Chicken and Sweetcorn Soup"
foodChickenSweetcornSoupFMDesc,items,Food,,,"A tasty soup that can help you stay warm in colder feather (AHEM) I mean, weather."
foodChickenSweetcornSoupFMSchematic,items,Food,,,"Chicken and Sweetcorn Soup Recipe"
foodChocolateCakeFM,items,Food,,,"Chocolate Cake"
foodChocolateCakeFMDesc,items,Food,,,"Being able to bake a chocolate cake whilst surviving wave after wave of hungry zombies is definitely a feat most survivors can't boast about."
foodChocolateCakeFMSchematic,items,Food,,,"Chocolate Cake Recipe"
foodChocolateFM,items,Food,,,"Chocolate"
foodChocolateFMDesc,items,Food,,,"A piece of chocolate - a very tasty, delicious piece of chocolate..."
foodCookedFishFM,items,Food,,,"Cooked Fish"
foodCookedFishFMDesc,items,Food,,,"A cooked fish provides a little more nutrition than eating it fresh."
foodCookedSalmonFM,items,Food,,,"Cooked Salmon"
foodCookedSalmonFMDesc,items,Food,,,"Not only does this taste great, it will help you heal up a little faster too."
foodCropAppleFM,items,Food,,,"Apple"
foodCropAppleFMDesc,items,Food,,,"An apple a day keeps the zombie nurse away... Well that's what we hope, anyway."
foodCropPearFM,items,Food,,,"Pear"
foodCropPearFMDesc,items,Food,,,"Pears are a good emergency food source but they can be used in other recipes."
foodCropPricklyPearFM,items,Food,,,"Prickly Pear"
foodCropPricklyPearFMDesc,items,Food,,,"Prickly pears can be found when harvesting cacti. It is not advised to eat them without removing the outer shell, though."
foodCropSoybeanFM,items,Food,,,"Soybean"
foodCropSoybeanFMDesc,items,Food,,,"Soybeans can be eaten raw but they may have a small chance of giving you food poisoning."
foodCropTomatoFM,items,Food,,,"Tomato"
foodCropTomatoFMDesc,items,Food,,,"Tomatoes can be eaten raw or used as part of better recipes. Pizzas, pasta dishes and breakfast meals are all great uses for tomatoes."
foodCropWheatFM,items,Food,,,"Wheat"
foodCropWheatFMDesc,items,Food,,,"Wheat can be eaten on its own but it will dehydrate you some. Good emergency food if you have nothing left."
foodDoggyDooFM,items,Food,,,"Doggy Doo"
foodDoggyDooFMDesc,items,Food,,,"Dog food, plus... other stuff... makes... Something tasty, I hope..."
foodDoggyDooFMSchematic,items,Food,,,"Doggy Doo Recipe"
foodDoughFM,items,Food,,,"Dough"
foodDoughFMDesc,items,Food,,,"Dough is used in bread and piemaking. It can be eaten as is, but it will taste rather bland..."
foodDoughFMSchematic,items,Food,,,"Dough Recipe"
foodEggSandwichFM,items,Food,,,"Egg Sandwich"
foodEggSandwichFMDesc,items,Food,,,"Whilst not the most egg-citing way to use eggs, the taste is most egg-cellent!"
foodFishAndChipsFM,items,Food,,,"Fish and Chips"
foodFishAndChipsFMDesc,items,Food,,,"A British staple, simple yet glorious."
foodFlourFM,items,Food,,,"Flour"
foodFlourFMDesc,items,Food,,,"Flour is used as a component in breads and pies. It's great at drying your mouth out, too."
foodFreshAnchovyFM,items,Food,,,"Fresh Anchovy"
foodFreshAnchovyFMDesc,items,Food,,,"You can eat these raw or use them in recipes. Goes great on a pizza."
foodFreshFishFM,items,Food,,,"Fresh Fish"
foodFreshFishFMDesc,items,Food,,,"A fresh fish. Can be eaten raw, or cooked with other ingredients for a more nutritious meal."
foodFreshSalmonFM,items,Food,,,"Fresh Salmon"
foodFreshSalmonFMDesc,items,Food,,,"This makes a great meal to eat even from raw. But it's much better to cook it up, or smoke it for best results."
foodFriedBaconFM,items,Food,,,"Fried Bacon"
foodFriedBaconFMDesc,items,Food,,,"Fried bacon tastes great and is the cure to all ills. Whoever disagrees must be fed to the zombies."
foodFriedBaconFMSchematic,items,Food,,,"Fried Bacon Recipe"
foodFriedTofuFM,items,Food,,,"Fried Tofu"
foodFriedTofuFMDesc,items,Food,,,"Frying tofu tastes so much better than leaving it raw... But all the goodness also gets cooked out of it too."
foodFriedTofuFMSchematic,items,Food,,,"Fried Tofu Recipe"
foodFriesFM,items,Food,,,"Fries"
foodFriesFMDesc,items,Food,,,"You never thought you'd see the day when fast food would be available in the apocalypse, but here stands the fries, ready to be eaten."
foodFriesFMSchematic,items,Food,,,"Fries Recipe"
foodGelatinFM,items,Food,,,"Jar of Raw Gelatin"
foodGelatinFMDesc,items,Food,,,"Gooey but tasteless. Can be used to make jelly and gummy candies when mixed with fruit and other items."
foodGelatinFMSchematic,items,Food,,,"Gelatin Recipe"
foodGrilledCheeseFM,items,Food,,,"Grilled Cheese"
foodGrilledCheeseFMDesc,items,Food,,,"Grilled cheese is simple to make and tasty too! Just don't grill your nuts along with it."
foodGrilledSausageFM,items,Food,,,"Grilled Sausage"
foodGrilledSausageFMDesc,items,Food,,,"A grilled sausage makes for a nice snack in the apocalypse."
foodGrilledSausageFMSchematic,items,Food,,,"Grilled Sausage Schematic"
foodGroundHerbsFM,items,Food,,,"Ground Herbs"
foodGroundHerbsFMDesc,items,Food,,,"Ground herbs can be used for seasonings in some recipes."
foodGummyBearsBlackFM,items,Food,,,"Gummy Bears (Black)"
foodGummyBearsBlackFMDesc,items,Food,,,"A sweet treat that tastes like pear."
foodGummyBearsBlueFM,items,Food,,,"Gummy Bears (Blue)"
foodGummyBearsBlueFMDesc,items,Food,,,"A sweet treat that tastes like blueberry."
foodGummyBearsRedFM,items,Food,,,"Gummy Bears (Red)"
foodGummyBearsRedFMDesc,items,Food,,,"A sweet treat that tastes like apple."
foodHogRoastBurgerFM,items,Food,,,"Hog Roast Burger"
foodHogRoastBurgerFMDesc,items,Food,,,"This burger has been awarded the Fox seal of approval."
foodHogRoastBurgerFMSchematic,items,Food,,,"Hog Roast Burger Recipe"
foodHoneyChickenKabobsFM,items,Food,,,"Honey Chicken Kabobs"
foodHoneyChickenKabobsFMDesc,items,Food,,,"This chicken has 'the stick'..."
foodHoneyChickenKabobsFMSchematic,items,Food,,,"Honey Chicken Kabobs Recipe"
foodHoneyYuccaPieFM,items,Food,,,"Honey Yucca Pie"
foodHoneyYuccaPieFMDesc,items,Food,,,"Combining these two sweet things into a pastry seems great and all. Just don't overload on the sugar."
foodHoneyYuccaPieFMSchematic,items,Food,,,"Honey Yucca Pie Recipe"
foodHotDogFM,items,Food,,,"Hot Dog"
foodHotDogFMDesc,items,Food,,,"Who wouldn't want to stuff their sausage into a warm bun? Tastes great and will fill you up for a while."
foodHotDogFMSchematic,items,Food,,,"Hot Dog Recipe"
foodHunterStewFM,items,Food,,,"Hunter's Stew"
foodHunterStewFMDesc,items,Food,,,"A great meal to take after a good hunt. You may want to save some for the next hunt, though..."
foodHunterStewFMSchematic,items,Food,,,"Hunter's Stew Recipe"
foodJacketPotatoFM,items,Food,,,"Jacket Potato"
foodJacketPotatoFMDesc,items,Food,,,"A jacket potato is a simple way to buff up any spud."
foodJacketPotatoFMSchematic,items,Food,,,"Jacket Potato Recipe"
foodKittyCasseroleFM,items,Food,,,"Kitty Casserole"
foodKittyCasseroleFMDesc,items,Food,,,"Well, what could a can of cat food do when mixed with some other stuff? Let's find out right meow!"
foodKittyCasseroleFMSchematic,items,Food,,,"Kitty Casserole Recipe"
foodLambStewFM,items,Food,,,"Lamb Stew"
foodLambStewFMDesc,items,Food,,,"This really is not baaaad!"
foodLambStewFMSchematic,items,Food,,,"Lamb Stew Recipe"
foodLionBurgerFM,items,Food,,,"Lion Burger"
